y	age	job	marital	education	balance	housing	loan	contact	duration	previous	poutcome
0	58	management	married	tertiary	2143	yes	no	unknown	261	0	unknown
0	44	technician	single	secondary	29	yes	no	unknown	151	0	unknown
0	33	entrepreneur	married	secondary	2	yes	yes	unknown	76	0	unknown
0	47	blue-collar	married	unknown	1506	yes	no	unknown	92	0	unknown
0	33	unknown	single	unknown	1	no	no	unknown	198	0	unknown
0	35	management	married	tertiary	231	yes	no	unknown	139	0	unknown
0	28	management	single	tertiary	447	yes	yes	unknown	217	0	unknown
0	42	entrepreneur	divorced	tertiary	2	yes	no	unknown	380	0	unknown
0	58	retired	married	primary	121	yes	no	unknown	50	0	unknown
0	43	technician	single	secondary	593	yes	no	unknown	55	0	unknown
0	41	admin	divorced	secondary	270	yes	no	unknown	222	0	unknown
0	29	admin	single	secondary	390	yes	no	unknown	137	0	unknown
0	53	technician	married	secondary	6	yes	no	unknown	517	0	unknown
0	58	technician	married	unknown	71	yes	no	unknown	71	0	unknown
0	57	services	married	secondary	162	yes	no	unknown	174	0	unknown
0	51	retired	married	primary	229	yes	no	unknown	353	0	unknown
0	45	admin	single	unknown	13	yes	no	unknown	98	0	unknown
0	57	blue-collar	married	primary	52	yes	no	unknown	38	0	unknown
0	60	retired	married	primary	60	yes	no	unknown	219	0	unknown
0	33	services	married	secondary	0	yes	no	unknown	54	0	unknown
0	28	blue-collar	married	secondary	723	yes	yes	unknown	262	0	unknown
0	56	management	married	tertiary	779	yes	no	unknown	164	0	unknown
0	32	blue-collar	single	primary	23	yes	yes	unknown	160	0	unknown
0	25	services	married	secondary	50	yes	no	unknown	342	0	unknown
0	40	retired	married	primary	0	yes	yes	unknown	181	0	unknown
0	44	admin	married	secondary	-372	yes	no	unknown	172	0	unknown
0	39	management	single	tertiary	255	yes	no	unknown	296	0	unknown
0	52	entrepreneur	married	secondary	113	yes	yes	unknown	127	0	unknown
0	46	management	single	secondary	-246	yes	no	unknown	255	0	unknown
0	36	technician	single	secondary	265	yes	yes	unknown	348	0	unknown
0	57	technician	married	secondary	839	no	yes	unknown	225	0	unknown
0	49	management	married	tertiary	378	yes	no	unknown	230	0	unknown
0	60	admin	married	secondary	39	yes	yes	unknown	208	0	unknown
0	59	blue-collar	married	secondary	0	yes	no	unknown	226	0	unknown
0	51	management	married	tertiary	10635	yes	no	unknown	336	0	unknown
0	57	technician	divorced	secondary	63	yes	no	unknown	242	0	unknown
0	25	blue-collar	married	secondary	-7	yes	no	unknown	365	0	unknown
0	53	technician	married	secondary	-3	no	no	unknown	1666	0	unknown
0	36	admin	divorced	secondary	506	yes	no	unknown	577	0	unknown
0	37	admin	single	secondary	0	yes	no	unknown	137	0	unknown
0	44	services	divorced	secondary	2586	yes	no	unknown	160	0	unknown
0	50	management	married	secondary	49	yes	no	unknown	180	0	unknown
0	60	blue-collar	married	unknown	104	yes	no	unknown	22	0	unknown
0	54	retired	married	secondary	529	yes	no	unknown	1492	0	unknown
0	58	retired	married	unknown	96	yes	no	unknown	616	0	unknown
0	36	admin	single	primary	-171	yes	no	unknown	242	0	unknown
0	58	self-employed	married	tertiary	-364	yes	no	unknown	355	0	unknown
0	44	technician	married	secondary	0	yes	no	unknown	225	0	unknown
0	55	technician	divorced	secondary	0	no	no	unknown	160	0	unknown
0	29	management	single	tertiary	0	yes	no	unknown	363	0	unknown
0	54	blue-collar	married	secondary	1291	yes	no	unknown	266	0	unknown
0	48	management	divorced	tertiary	-244	yes	no	unknown	253	0	unknown
0	32	management	married	tertiary	0	yes	no	unknown	179	0	unknown
0	42	admin	single	secondary	-76	yes	no	unknown	787	0	unknown
0	24	technician	single	secondary	-103	yes	yes	unknown	145	0	unknown
